Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
2018-12-18,YESBANK,EQ,181.0,180.0,180.9,176.75,178.75,179.0,178.88,35729865,639137805905000.0,195583,8836532,0.24730000000000002
2018-12-19,YESBANK,EQ,179.0,180.5,183.15,178.6,179.15,179.55,180.6,40247602,726878006010000.0,242431,10756088,0.2672
2018-12-20,YESBANK,EQ,179.55,179.0,187.6,178.0,186.8,186.75,184.94,61970822,1146108195760000.0,332868,12786361,0.20629999999999998
2018-12-21,YESBANK,EQ,186.75,188.0,188.45,180.85,183.15,182.95,184.05,40864241,752119284965000.0,215052,7077053,0.1732
2018-12-24,YESBANK,EQ,182.95,184.0,185.5,181.25,182.35,182.3,183.34,32861722,602471011170000.0,161745,4825271,0.1468
2018-12-26,YESBANK,EQ,182.3,182.5,182.65,174.25,179.5,179.45,177.77,47421246,842989146355000.0,269345,6643820,0.1401
2018-12-27,YESBANK,EQ,179.45,183.0,183.45,177.05,178.7,178.1,180.22,44303877,798427961840000.0,192334,6193008,0.1398
2018-12-28,YESBANK,EQ,178.1,180.0,183.3,180.0,181.65,181.45,181.96,27142501,493872675189999.94,142436,5362595,0.19760000000000003
2018-12-31,YESBANK,EQ,181.45,183.2,183.85,181.0,181.9,181.8,181.95,18970865,345168848990000.0,105371,3729307,0.1966
2019-01-01,YESBANK,EQ,181.8,182.6,185.9,181.0,184.4,184.25,184.04,24160878,444654854439999.94,128819,4380315,0.1813
2019-01-02,YESBANK,EQ,184.25,183.45,187.0,182.5,184.6,184.65,185.2,32583205,603429794505000.0,158991,5290399,0.1624
2019-01-03,YESBANK,EQ,184.65,185.25,186.0,183.5,184.3,184.1,184.53,20239949,373496551705000.0,102751,4112556,0.20320000000000002
2019-01-04,YESBANK,EQ,184.1,184.85,190.3,181.55,190.0,189.65,186.71,45914917,857259536790000.0,224066,9056039,0.1972
2019-01-07,YESBANK,EQ,189.65,193.9,194.4,185.8,186.55,187.15,190.49,40515242,771776961175000.0,215186,11491836,0.2836
2019-01-08,YESBANK,EQ,187.15,188.0,193.2,185.0,191.8,192.35,190.14,40559174,771181584635000.0,233064,6089483,0.1501
2019-01-09,YESBANK,EQ,192.35,193.95,193.95,181.5,186.55,186.45,188.64,63673200,1201106086675000.0,352457,11568064,0.18170000000000003
2019-01-10,YESBANK,EQ,186.45,188.0,188.9,184.2,187.9,186.9,186.41,36296992,676627133010000.0,204708,8054505,0.22190000000000001
2019-01-11,YESBANK,EQ,186.9,188.7,189.9,182.75,183.4,184.25,185.63,33594786,623632487420000.0,164656,7673220,0.2284
2019-01-14,YESBANK,EQ,184.25,185.0,198.0,182.3,195.0,195.35,192.96,98089778,1892709318120000.0,489797,19400487,0.1978
2019-01-15,YESBANK,EQ,195.35,196.6,205.0,196.1,203.3,203.0,202.35,82308056,1665471356445000.0,419455,14755006,0.1793
2019-01-16,YESBANK,EQ,203.0,204.8,209.15,203.5,207.8,208.35,206.07,58015710,1195544117890000.0,266651,10342408,0.1783
2019-01-17,YESBANK,EQ,208.35,209.25,209.55,200.25,200.65,201.5,203.8,60534702,1233712769070000.0,293680,13636139,0.22530000000000003
2019-01-18,YESBANK,EQ,201.5,202.0,203.05,196.2,198.95,198.6,199.21,41858021,833865443360000.0,235546,5482465,0.131
2019-01-21,YESBANK,EQ,198.6,199.3,200.5,190.7,191.2,191.95,195.77,37304992,730321266180000.0,206900,7573007,0.203
2019-01-22,YESBANK,EQ,191.95,191.5,193.8,187.4,193.55,192.2,191.09,38382360,733441892170000.0,235809,7094311,0.18480000000000002
2019-01-23,YESBANK,EQ,192.2,194.5,199.5,193.65,197.25,197.25,196.73,46394304,912695406490000.0,243281,8033285,0.1732
2019-01-24,YESBANK,EQ,197.25,199.0,235.0,189.0,225.5,215.4,210.47,127603904,2685656712000000.0,604076,28175530,0.2208
2019-01-25,YESBANK,EQ,215.4,225.0,245.0,218.0,219.95,219.6,227.75,183425643,4177476607275000.0,955891,36712058,0.20010000000000003
2019-01-28,YESBANK,EQ,219.6,222.45,223.0,206.1,208.0,207.5,211.86,58015753,1229101871945000.0,331260,9240415,0.1593
2019-01-29,YESBANK,EQ,207.5,207.0,209.45,195.7,205.5,202.9,202.44,76651017,1551713346250000.0,396905,10859017,0.1417
2019-01-30,YESBANK,EQ,202.9,211.0,212.0,198.3,199.35,199.5,203.09,65312137,1326402832145000.0,381216,11135037,0.1705
2019-01-31,YESBANK,EQ,199.5,202.0,202.45,190.15,194.0,194.1,195.15,67794993,1323033426245000.0,371602,13785148,0.20329999999999998
2019-02-01,YESBANK,EQ,194.1,195.9,197.2,181.25,185.3,185.6,190.0,66597684,1265348030460000.0,411460,17458912,0.2622
2019-02-04,YESBANK,EQ,185.6,184.25,184.7,175.6,179.4,179.8,180.41,60771732,1096380626910000.0,365522,13350973,0.2197
2019-02-05,YESBANK,EQ,179.8,179.8,183.5,175.0,175.85,176.1,179.63,44477885,798942383775000.0,291755,9084094,0.20420000000000002
